ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp
693,693,0,66,12,2011-12-02 20:59:04.822,1233,1233,0,405,0,0,2011-12-02 20:59:04.822
694,694,0,999,0,2011-12-02 08:01:11.288,13400,2003,0,11900,0,999,2011-12-02 07:18:32.579
695,695,0,999,0,2011-11-30 23:20:17.581,5200,5200,0,2003,0,999,2011-11-30 23:05:41.331
696,696,0,67,12,2011-12-02 22:17:40.883,1230,1230,0,506,0,20111224,2011-12-02 22:17:40.883
697,697,0,2,13,2011-12-01 13:17:24.974,1224,1224,0,502,0,201111294,2011-12-01 13:17:24.974
698,698,0,2,13,2011-12-01 13:49:58.783,1224,1224,0,506,0,201111172,2011-12-01 13:49:58.783
700,700,0,96,11,2011-12-01 10:13:39.761,1227,1227,0,502,0,201111286,2011-12-01 10:13:39.761
701,701,0,999,0,2011-12-02 07:37:51.646,1206,1206,0,2003,0,999,2011-12-02 07:37:51.646
702,702,0,999,0,2011-12-01 20:33:23.318,13400,2003,0,10900,0,999,2011-12-01 20:29:34.569
703,703,0,67,12,2011-12-02 22:31:08.464,1230,1230,0,506,0,20111224,2011-12-02 22:31:08.464
704,704,0,999,0,2011-12-02 08:08:01.238,1210,1210,0,2003,0,999,2011-12-02 08:08:01.238
705,705,0,66,12,2011-12-02 23:29:52.532,15500,10100,0,502,0,20111223,2011-12-02 18:27:43.794
706,706,0,999,0,2011-12-03 00:48:44.316,2030,403,0,3700,0,999,2011-12-01 20:19:57.679
708,708,0,999,0,2011-12-01 23:59:20.647,1226,1226,0,2003,0,999,2011-12-01 23:59:20.647
709,709,0,999,0,2011-11-30 22:35:19.491,5200,5200,0,2003,0,999,2011-11-30 22:11:23.035
711,711,0,66,12,2011-12-02 16:21:03.635,1231,1231,0,506,0,20111223,2011-12-02 16:21:03.635
